full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
"     1 Ceres",2.767025704525198,.07579779827230555,10.59387843173385,80.32831021110563,72.39491611545941,2.557291248359312,2.976760160691082,4.60286240562094,77150,0,6652,,,3.34,952.4,"974.6 x 909.4",0.090,9.074170,63.2,.713,.426,,C,G
"     2 Pallas",2.771722875768389,.23136806339302,34.84103374517942,173.0969085484765,309.9258687541497,2.130434721739725,3.413011029797054,4.61458777869195,68635,0,7829,,,4.13,545,582x556x500,0.1587,7.8132,14.3,.635,.284,,B,B
"     3 Juno",2.669858508483084,.2552210116711428,12.98137744068201,169.8776356197903,248.3798174614966,1.988454518929223,3.351262498036946,4.36255154663165,69075,0,6611,,,5.33,233.92,,0.2383,7.210,,.824,.433,,Sk,S
"     4 Vesta",2.361460086256774,.08861219186782818,7.1404941023471,103.851288922141,151.2172211176876,2.15220593200517,2.570714240508377,3.62893439083207,67680,0,7107,,,3.20,530,,0.4228,5.342,17.8,.782,.492,,V,V
"     5 Astraea",2.574226897062785,.1910190813796263,5.368305543995842,141.5937864187382,358.8902033337477,2.082500439923126,3.065953354202444,4.13026995291546,61238,0,2068,,,6.85,119.07,,0.2268,16.800,,.826,.411,,S,S
"     6 Hebe",2.425623581579452,.2015442774339414,14.7480273715582,138.7033385619727,239.3939093155834,1.936753029503292,2.914494133655611,3.77783783243133,60166,0,5455,,,5.71,185.18,,0.2679,7.2745,,.822,.399,,S,S
"     7 Iris",2.385988714843692,.2304649305092262,5.524376908795847,259.6357275189561,145.4366658189432,1.836101991481443,2.935875438205941,3.68562190232965,60168,0,4780,2,0,5.51,199.83,,0.2766,7.139,,.855,.484,,S,S
"     8 Flora",2.201255243100188,.1560952639039768,5.88809022376932,110.9221417394507,285.4005339198271,1.857649725008452,2.544860761191924,3.26598215433323,60622,0,2191,,,6.49,135.89,,0.2426,12.865,,.885,.489,,,S
"     9 Metis",2.386143840343291,.1224287698080578,5.574912419883788,68.94557473694258,5.849915599890955,2.094011185384987,2.678276495301595,3.68598134026084,70028,0,2309,,,6.28,190,,0.118,5.079,,.858,.496,,,S
"    10 Hygiea",3.137759909062181,.1157459348256398,3.841913233247883,283.4166768848367,312.6399357133005,2.774576955129365,3.500942862994997,5.55824603555358,59732,0,2840,,,5.43,407.12,,0.0717,27.623,7.,.696,.351,,C,C
"    11 Parthenope",2.453666978564074,.09954123468920056,4.629529108471149,125.565400701537,195.8938569314592,2.209425938001686,2.697908019126462,3.84354198619163,59712,0,4802,,,6.55,153.33,,0.1803,13.7204,,.837,.417,,Sk,S
"    12 Victoria",2.333779579221686,.2213655992552831,8.36863074093776,235.4905669433678,69.55139176512584,1.817161064137536,2.850398094305837,3.56531540255935,59442,0,2291,,,7.24,112.77,,0.1765,8.6599,,.874,.515,,L,S
"    13 Egeria",2.576788309141956,.08383942793016809,16.53882685403042,43.25688311079872,80.06739836868972,2.360751851406349,2.792824766877563,4.13643604957227,59646,0,1757,,,6.74,207.64,,0.0825,7.045,,.745,.452,,Ch,G
"    14 Irene",2.586818715976264,.1659722159636385,9.118453727812293,86.16375378322461,97.99625139640405,2.15747868138947,3.016158750563059,4.16061177614226,59244,0,2161,,,6.30,152,,0.159,15.028,,.833,.388,,S,S
"    15 Eunomia",2.6436668947811,.1875760914039876,11.73898150888719,293.1872566657152,97.57551870177932,2.147778191683944,3.139555597878256,4.29851356117751,59109,0,2075,,,5.28,255.33,,0.2094,6.083,,.839,.451,,S,S
"    16 Psyche",2.92310371097099,.1364730064253092,3.098693002819392,150.2752759195264,227.1150031514539,2.524178959441801,3.322028462500179,4.99775012499229,58859,0,2493,,,5.90,253.16,,0.1203,4.196,4.49,.729,.299,,X,M
"    17 Thetis",2.47197937279643,.1329508391407846,5.589980742094067,125.5706113566773,135.6412184685468,2.143327640844434,2.800631104748426,3.88665029213371,59107,0,2525,,,7.76,90.04,,0.1715,12.27048,,.829,.438,,Sl,S
"    18 Melpomene",2.295578048366291,.2186992874578949,10.13261788333271,150.4696445994178,227.9850168360962,1.793536764884598,2.797619331847984,3.47813389710574,57489,0,4374,,,6.51,140.57,,0.2225,11.570,,.854,.425,,S,S
"    19 Fortuna",2.442529747483636,.158543335051059,1.573056489263376,211.1799585121684,182.3773999473561,2.055282935356159,2.829776559611112,3.8174028621223,58966,0,2216,,,7.13,200,,0.037,7.4432,,.719,.324,,Ch,G
"    20 Massalia",2.409343593544039,.1429386098374676,.7080829798864942,206.1766738754893,256.7372497334939,2.064955369662045,2.753731817426032,3.73986831262817,58495,0,1945,,,6.50,145.50,,0.2096,8.098,,.854,.463,,S,S
"    21 Lutetia",2.434240596615616,.1645779771693995,3.063849952059719,80.88427562353306,250.2061215934567,2.033618203280986,2.834862989950247,3.7979868243797,54032,0,3715,,,7.35,95.76,,0.2212,8.1655,,.686,.189,,Xk,M
"    22 Kalliope",2.910478162578294,.09984877771692412,13.71679016498993,66.08522927470734,354.8715444376073,2.619870475473052,3.201085849683535,4.96540548822601,58106,0,2144,,,6.45,181.00,,0.1419,4.148,0.491,.715,.234,,X,M
"    23 Thalia",2.624743275481762,.2353817313094361,10.11495243409105,66.88356190151879,60.81867536770141,2.006926659056065,3.242559891907459,4.25244249931077,57307,0,1546,,,6.95,107.53,,0.2536,12.312,,.859,.442,,S,S
"    24 Themis",3.134660885721605,.1258425753580677,.7523226249605437,35.92219117668303,106.6127854599074,2.740187086988197,3.529134684455013,5.55001362730326,58759,0,2107,,,7.08,198,,0.067,8.374,,.684,.336,,B,C
"    25 Phocaea",2.399389092534179,.2556602029430555,21.59191438261021,214.2257524933354,90.04558006052638,1.785960790197537,3.012817394870821,3.71671467677119,56098,0,2185,,,7.83,75.13,,0.2310,9.9341,,.932,.513,,S,S
"    26 Proserpina",2.655279404713843,.09025607827631883,3.563452179001906,45.79373631590866,194.3303855407759,2.415624298916493,2.894934510511193,4.32686696701468,55674,0,1348,,,7.4,94.80,,0.1966,13.110,,.891,.525,,S,S
"    27 Euterpe",2.347185064494213,.1723068454832589,1.58372474704768,94.80029960454286,356.5120503687621,1.942749010265795,2.75162111872263,3.59607881693453,58292,0,2084,,,7.0,96,,0.162,10.4082,,.878,.502,,S,S
"    28 Bellona",2.775634313844308,.151375843681179,9.43315568910227,144.3228048794678,344.5645138260573,2.355470327835696,3.195798299852921,4.62435934039832,57353,0,1841,,,7.09,120.90,,0.1763,15.706,,.845,.469,,S,S
"    29 Amphitrite",2.555042630746509,.07220913666102272,6.08918552365133,356.4271217145698,61.90623993865081,2.370545208248195,2.739540053244823,4.08418521040434,57626,0,1852,,,5.85,212.22,,0.1793,5.3921,,.838,.449,,S,S
